id,gender_encoded,category_bottom,category_footwear,category_top,style_casual,style_formal,style_sportswear
15970,1,0,0,1,1,0,0
39386,1,1,0,0,1,0,0
21379,1,1,0,0,1,0,0
53759,1,0,0,1,1,0,0
1855,1,0,0,1,1,0,0
26960,0,0,0,1,1,0,0
9204,1,0,1,0,1,0,0
12369,1,0,0,1,0,1,0
42419,0,0,0,1,1,0,0
13089,1,0,0,1,0,0,1
9036,1,0,1,0,0,1,0
7990,1,0,0,1,0,0,1
37812,1,0,0,1,0,1,0
4729,1,0,0,1,1,0,0
56825,1,0,0,1,1,0,0
39988,1,0,1,0,1,0,0
59051,0,0,1,0,1,0,0
3954,0,0,0,1,1,0,0
2886,0,0,1,0,1,0,0
8580,1,0,0,1,1,0,0
3168,1,0,1,0,0,0,1
18005,1,1,0,0,0,0,1
9452,1,0,0,1,0,1,0
10268,1,0,1,0,0,1,0
59435,1,0,1,0,0,1,0
5891,1,0,0,1,1,0,0
38630,0,0,0,1,1,0,0
4943,1,0,0,1,1,0,0
10866,1,0,0,1,1,0,0
15528,1,0,0,1,1,0,0
22198,1,0,1,0,1,0,0
29570,1,0,1,0,1,0,0
6628,1,0,1,0,0,0,1
54924,1,1,0,0,1,0,0
26538,1,0,1,0,1,0,0
49495,1,0,1,0,1,0,0
9660,1,0,0,1,1,0,0
2288,0,0,0,1,0,0,1
23876,1,0,0,1,1,0,0
18237,1,0,0,1,1,0,0
54118,0,0,1,0,1,0,0
2872,0,0,1,0,1,0,0
49653,0,0,0,1,1,0,0
13419,1,0,0,1,1,0,0
33822,1,0,1,0,0,0,1
58513,0,0,0,1,1,0,0
5865,1,0,0,1,1,0,0
29584,1,0,0,1,1,0,0
28456,0,1,0,0,0,0,1
34009,0,0,0,1,1,0,0
19311,1,0,1,0,1,0,0
42089,1,0,1,0,0,0,1
49461,1,0,1,0,1,0,0
9694,1,0,0,1,1,0,0
23882,1,0,1,0,0,0,1
34835,1,0,1,0,0,0,1
15984,1,0,0,1,1,0,0
11518,0,0,1,0,1,0,0
59297,1,0,0,1,1,0,0
27846,0,0,0,1,0,1,0
26994,0,1,0,0,1,0,0
2618,0,0,1,0,1,0,0
8322,1,0,0,1,1,0,0
7158,1,0,0,1,1,0,0
19547,1,0,0,1,1,0,0
7964,1,0,0,1,0,0,1
16392,1,0,0,1,1,0,0
51455,0,0,0,1,1,0,0
17240,1,0,0,1,1,0,0
47530,0,0,1,0,1,0,0
6617,1,0,0,1,1,0,0
3365,1,0,0,1,1,0,0
42042,1,0,1,0,0,0,1
23849,1,0,1,0,1,0,0
54127,0,0,1,0,1,0,0
10065,1,0,0,1,1,0,0
24250,1,0,1,0,1,0,0
5092,1,0,0,1,1,0,0
10859,1,0,0,1,1,0,0
15517,1,0,1,0,1,0,0
4140,0,0,1,0,1,0,0
10257,1,1,0,0,0,1,0
24062,1,0,0,1,1,0,0
11385,0,0,0,1,1,0,0
53130,0,0,1,0,1,0,0
22395,1,0,0,1,1,0,0
23247,1,0,1,0,0,1,0
31782,0,0,0,1,1,0,0
12500,1,0,0,1,1,0,0
30650,1,0,0,1,1,0,0
32563,0,1,0,0,1,0,0
40143,0,0,0,1,1,0,0
10633,1,0,1,0,0,1,0
21174,0,0,0,1,1,0,0
15341,0,1,0,0,0,0,1
14293,1,0,0,1,1,0,0
6041,1,0,0,1,1,0,0
23623,0,0,0,1,1,0,0
17416,1,0,1,0,0,0,1
9835,0,0,0,1,1,0,0
7193,0,1,0,0,1,0,0
12958,1,0,1,0,0,0,1
3533,1,0,0,1,1,0,0
17624,1,1,0,0,0,0,1
47154,0,1,0,0,1,0,0
46086,0,0,1,0,0,0,1
13284,1,1,0,0,1,0,0
54543,1,0,1,0,1,0,0
26163,1,1,0,0,0,1,0
3701,0,0,0,1,1,0,0
32751,1,0,1,0,1,0,0
10401,0,0,0,1,1,0,0
40371,0,1,0,0,1,0,0
45603,1,0,1,0,0,1,0
4524,1,0,1,0,0,0,1
37223,0,0,0,1,1,0,0
53766,1,0,0,1,1,0,0
25520,0,0,0,1,1,0,0
32597,0,0,0,1,1,0,0
57100,0,0,0,1,1,0,0
36137,0,0,1,0,0,0,1
39943,1,0,1,0,1,0,0
8913,1,0,1,0,0,0,1
16530,1,0,0,1,1,0,0
22705,1,0,1,0,1,0,0
7167,1,0,0,1,1,0,0
46240,0,0,0,1,1,0,0
13042,0,0,1,0,1,0,0
6889,0,0,0,1,1,0,0
12190,1,0,0,1,1,0,0
55657,0,0,1,0,1,0,0
19578,0,0,0,1,1,0,0
27879,0,0,0,1,1,0,0
34452,0,0,1,0,1,0,0
6287,1,0,0,1,1,0,0
7355,1,0,0,1,1,0,0
43500,1,0,0,1,1,0,0
2627,0,0,1,0,1,0,0
13270,0,0,0,1,1,0,0
31120,0,0,0,1,1,0,0
11527,1,0,0,1,1,0,0
40385,0,0,0,1,1,0,0
15187,1,0,0,1,1,0,0
5402,0,0,1,0,0,0,1
14055,1,0,0,1,1,0,0
20260,1,0,0,1,1,0,0
28469,0,0,0,1,1,0,0
34036,1,0,0,1,1,0,0
8779,1,0,0,1,1,0,0
2243,1,0,0,1,0,0,1
33213,0,0,0,1,1,0,0
39729,0,0,0,1,1,0,0
11143,1,0,0,1,1,0,0
44341,1,0,0,1,1,0,0
14431,0,0,1,0,1,0,0
11371,1,0,0,1,1,0,0
41401,0,0,0,1,1,0,0
4386,1,0,0,1,1,0,0
16154,1,0,1,0,0,1,0
29789,1,0,0,1,1,0,0
7503,1,0,0,1,0,0,1
34204,1,1,0,0,1,0,0
50741,1,0,1,0,1,0,0
13426,1,0,0,1,1,0,0
43356,0,0,1,0,0,0,1
13846,1,0,0,1,1,0,0
12994,1,0,1,0,0,0,1
46278,0,0,0,1,1,0,0
16508,1,1,0,0,1,0,0
19540,1,0,0,1,1,0,0
7963,1,0,0,1,0,0,1
57138,0,1,0,0,1,0,0
20856,1,0,1,0,1,0,0
15983,1,0,0,1,1,0,0
20258,1,0,0,1,1,0,0
26993,0,1,0,0,1,0,0
13248,1,1,0,0,1,0,0
43538,0,0,0,1,1,0,0
8325,1,0,0,1,1,0,0
31118,0,0,0,1,1,0,0
19772,1,0,1,0,1,0,0
5862,1,0,0,1,1,0,0
14409,0,0,1,0,1,0,0
58726,1,0,0,1,1,0,0
51499,0,1,0,0,1,0,0
29583,0,0,1,0,1,0,0
7709,0,1,0,0,1,0,0
28451,0,1,0,0,1,0,0
43960,1,0,0,1,0,1,0
8741,1,0,0,1,1,0,0
34832,1,0,1,0,0,0,1
23885,1,0,1,0,0,0,1
22359,1,0,0,1,1,0,0
49654,0,1,0,0,1,0,0
2049,1,0,0,1,0,0,1
41439,1,0,1,0,0,0,1
11349,1,1,0,0,1,0,0
24892,1,0,0,1,1,0,0
58514,0,0,0,1,1,0,0
33825,0,0,1,0,0,0,1
38637,1,0,0,1,1,0,0
5896,1,0,1,0,1,0,0
4944,1,0,0,1,1,0,0
10861,1,0,0,1,1,0,0
54923,0,1,0,0,1,0,0
17278,1,0,0,1,1,0,0
31588,1,0,0,1,1,0,0
49492,1,0,1,0,1,0,0
18230,1,0,0,1,1,0,0
23871,1,0,0,1,1,0,0
9667,1,0,0,1,1,0,0
16198,1,1,0,0,0,0,1
3953,0,0,0,1,1,0,0
12538,1,1,0,0,1,0,0
8587,1,0,0,1,1,0,0
42248,0,0,0,1,1,0,0
9455,1,0,0,1,0,1,0
18002,0,1,0,0,0,0,1
32903,0,1,0,0,1,0,0
6079,1,0,0,1,1,0,0
12960,1,0,1,0,0,0,1
29321,1,0,0,1,0,0,1
9031,1,0,1,0,1,0,0
26369,0,0,0,1,1,0,0
33489,1,0,0,1,1,0,0
59056,0,0,1,0,1,0,0
15379,1,0,1,0,1,0,0
45409,0,0,1,0,1,0,0
56822,1,1,0,0,1,0,0
40947,1,0,0,1,1,0,0
39381,1,1,0,0,1,0,0
15977,1,0,0,1,1,0,0
32769,1,0,0,1,1,0,0
10439,1,0,0,1,1,0,0
14099,0,0,0,1,1,0,0
1852,1,0,0,1,1,0,0
7399,1,0,1,0,0,1,0
26967,0,0,0,1,1,0,0
9203,1,0,1,0,0,0,1
19786,1,0,0,1,1,0,0
44948,1,0,1,0,0,0,1
24091,1,0,0,1,1,0,0
41406,0,0,0,1,1,0,0
11376,0,0,0,1,1,0,0
4381,1,0,0,1,1,0,0
7504,0,0,0,1,0,0,1
22366,1,0,0,1,1,0,0
16153,1,0,1,0,0,1,0
50746,1,0,1,0,0,1,0
34203,1,1,0,0,1,0,0
13421,1,0,0,1,1,0,0
27614,1,1,0,0,1,0,0
22154,1,0,1,0,0,1,0
16361,1,0,0,1,0,1,0
46411,1,0,0,1,1,0,0
34031,1,0,0,1,1,0,0
31543,1,0,0,1,1,0,0
19329,1,0,1,0,1,0,0
27426,0,1,0,0,1,0,0
2244,0,0,0,1,1,0,0
33214,0,0,0,1,1,0,0
10096,0,0,1,0,0,0,1
11144,1,0,0,1,1,0,0
34455,0,0,1,0,0,1,0
6280,1,0,0,1,1,0,0
7352,1,0,0,1,1,0,0
2620,1,0,0,1,0,0,1
43507,1,0,0,1,1,0,0
11520,0,1,0,0,1,0,0
40382,0,0,0,1,1,0,0
20267,0,0,1,0,1,0,0
14052,1,0,0,1,1,0,0
53795,1,0,0,1,1,0,0
5405,1,0,1,0,0,0,1
32590,0,1,0,0,1,0,0
11712,1,0,0,1,1,0,0
25527,0,0,0,1,1,0,0
57107,0,0,0,1,1,0,0
39944,1,0,1,0,1,0,0
36130,1,0,1,0,1,0,0
13879,1,0,0,1,1,0,0
46247,0,0,0,1,1,0,0
7160,0,0,0,1,1,0,0
22702,0,0,1,0,1,0,0
8914,1,0,1,0,0,0,1
13045,0,0,1,0,1,0,0
12197,1,0,0,1,1,0,0
55650,0,0,1,0,1,0,0
6274,0,0,0,1,1,0,0
47153,0,1,0,0,1,0,0
17623,1,1,0,0,0,0,1
26958,0,0,0,1,1,0,0
13283,1,0,0,1,1,0,0
54544,1,0,1,0,0,0,1
3706,1,0,0,1,1,0,0
26164,1,1,0,0,0,1,0
40376,0,0,0,1,1,0,0
4523,1,0,1,0,0,0,1
45604,1,0,1,0,0,1,0
15174,1,0,0,1,1,0,0
53761,1,0,0,1,1,0,0
37224,0,0,0,1,1,0,0
32564,0,1,0,0,1,0,0
10634,1,0,1,0,0,1,0
40144,0,0,0,1,1,0,0
15346,1,0,0,1,1,0,0
21173,0,0,0,1,1,0,0
40978,1,0,0,1,1,0,0
14294,1,0,0,1,1,0,0
17411,1,0,1,0,0,0,1
9832,0,0,0,1,1,0,0
23624,0,0,0,1,1,0,0
6046,1,0,0,1,1,0,0
34693,0,1,0,0,1,0,0
7194,0,0,0,1,1,0,0
30233,1,0,1,0,1,0,0
3534,0,0,0,1,1,0,0
24065,1,0,0,1,1,0,0
1607,1,1,0,0,0,0,1
11382,0,0,0,1,1,0,0
53137,0,0,1,0,1,0,0
15722,1,0,1,0,0,0,1
4375,1,0,0,1,1,0,0
22392,0,0,0,1,1,0,0
12507,1,0,1,0,1,0,0
31785,0,0,0,1,1,0,0
3150,1,0,1,0,0,0,1
17849,0,0,0,1,1,0,0
29548,1,0,0,1,1,0,0
16395,1,0,0,1,1,0,0
51452,0,0,0,1,1,0,0
6610,1,0,0,1,1,0,0
47537,0,0,1,0,1,0,0
17247,1,0,0,1,1,0,0
